ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ocupación;Ingresos;¿Cuántas personas viven en su casa, incluido usted?;Café instantáneo;Margarina;Café molido;Carnes frías;Chocolate en pastilla;Calzado Deportivo;Jugos;Aguaembotellada;Gaseosas;Bebidasachocolatadasinstantánea;Ron;Cervezas;Cigarrillos;Aguardiente;Whisky;Vodka;Jabones para el cuerpo;Cremas faciales;Cremas corporales;Jabones faciales;Champú;Cremas de afeitar;Pañales para adultos;Pañales para niños;Tampones;Protectores diarios;Toallas higiénicas;Protector solar;Ropa Casual;Desodorantes;Preservativos;Vehículos;Ropa Deportiva;Calzado Casual;Reproductores de Audio Portátiles (mp3/mp4);Equipos Celulares;Computadores;Siento que la publicidad ha invadido todos mis espacios;Utilizo frases de comerciales para expresarme ;Cuando hay una campaña publicitaria que me llama la atención suelo comentarlo con mis amigos;Creo que la publicidad produce una exageración en el consumo de productos;Creo que la publicidad impone modas;Hay publicidad que me ha cambiado la forma de pensar respecto a situaciones de la vida;Creo que la publicidad impone modelos de belleza ;Creo que cualquier persona puede hacer publicidad ;Suelo cantar las canciones de los comerciales;Confío en lo que las empresas prometen a través de la publicidad.;Si aparece una persona famosa en un comercial, me da más confianza el producto.;Me parece que la publicidad exagera todo.;Cuando me gusta un comercial, me intereso más por el producto que ofrece;Sólo compro productos de marcas que hacen publicidad;La publicidad colombiana no invita a comprar
15;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Primaria;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;9;nr;nr;aguila roja;zenu;corona;venus;nr;nr;cocacola;chocolisto;nr;nr;nr;nr;nr;nr;lux;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;2;3;2;4;4;3;3;3;2;2;2;4;2;2;3
16;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);Menos de  $ 500.000;2;nescafe;campi;nr;rica;sol;nr;tampico;brisa;bigcola;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;h&s;nr;nr;nr;nr;nr;nosotras;sundown;otras;avon;nr;nr;otras;nr;nr;nokia;nr;5;2;4;4;4;4;5;4;3;3;3;3;5;3;4
17;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;7.   Busca empleo;No poseo ingresos propios;3;nr;la fina;sello rojo;nr;otras;venus;nr;brisa;cocacola;nr;nr;nr;nr;nr;nr;nr;neko;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;ego;nr;nr;nr;nr;nr;nokia;nr;3;3;3;3;3;4;4;2;3;2;2;5;2;2;4
18;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;7.   Busca empleo;$ 501.000 -- $ 1´000.000;3;colcafe;la fina;colcafe;nr;sol;nr;tuttifrutti;nr;manzanapostobon;nr;nr;aguila;mustangnrlight;nectar;nr;nr;cristalino;nr;nr;nr;ego;nr;nr;nr;nr;nr;nr;nr;nr;axe;nr;bmw;nike;op;nr;nokia;nr;2;1;4;5;5;2;4;4;1;4;3;5;4;4;4
19;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;5.    Estudia;Menos de  $ 500.000;6;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;rexona;h&s;gillette;nr;nr;nr;nr;nr;nivea;nike;nr;today;nr;adidas;nr;nr;motorola;nr;4;2;2;3;3;4;3;3;2;3;2;3;4;3;2
20;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);Menos de  $ 500.000;3;colcafe;la fina;sello rojo;nr;corona;aeroflex;hit;brisa;cocacola;nr;nr;nr;nr;nr;nr;nr;protex;ponds;lubriderm;nr;h&s;nr;nr;nr;nr;nosotras;nosotras;nr;nr;lady speed stick;nr;nr;nr;nr;nr;sony ericsson;nr;4;2;4;4;4;2;5;5;4;4;4;4;4;2;3
21;Ciudad 2;2;17 - 24;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);$ 501.000 -- $ 1´000.000;3;nr;nr;nr;nr;nr;nr;nr;brisa;cocacola;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;ego;nr;nr;nr;nr;nr;nr;nr;nr;gillete;nr;nr;nr;aeroflex;nr;sony ericsson;nr;3;4;3;3;3;4;3;3;2;3;2;3;3;3;3
22;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;2.   Trabaja independientemente (informal);Menos de  $ 500.000;22;sello rojo;la fina;juan valdez;nr;sol;nr;tampico;brisa;cocacola;nr;nr;poker;nr;otras;oldjohn;nr;nr;concha de nacar;nr;nr;otras;gillette;nr;huggies;nr;nr;nosotras;nr;diesel;otras;today;ford;nike;otras;aiwa;nokia;otras;4;2;4;4;4;4;4;4;3;3;4;5;4;2;2
23;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;5.    Estudia;Menos de  $ 500.000;8;colcafe;la fina;sello rojo;nr;diana;nr;tampico;cristal;cocacola;nr;nr;nr;nr;nr;nr;nr;protex;esika;esika;nr;sedal;nr;nr;nr;nr;nosotras;nosotras;esika;nr;lady speed stick;nr;nr;nr;nr;nr;nokia;compaq;2;2;2;4;3;3;4;2;2;2;2;2;4;2;3
24;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;1.   Trabaja dependientemente (empleado);$ 1´001.000 -- $ 2,000.000;1;nr;la buena;nr;nr;vitachocolate;discovery;soka;brisa;cocacola;nr;nr;nr;nr;nr;nr;nr;dorado;nr;avon;neutrogena;h&s;nr;nr;nr;ob;carefree;kotex;solarium;nr;rexona;nr;nr;nr;nr;nr;siemens;compaq;3;1;4;4;4;3;4;2;2;2;3;4;3;2;3
25;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;2;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;5;nr;la buena;sello rojo;nr;corona;nr;nr;nr;cocacola;chocolisto;nr;nr;nr;nr;nr;nr;dove;avon;avon;nr;h&s;nr;nr;winny;nr;kotex;kotex;nr;nr;avon;nr;nr;nr;nr;nr;nr;nr;2;2;4;2;3;3;4;2;3;3;2;3;3;2;3
26;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;1.   Trabaja dependientemente (empleado);Menos de  $ 500.000;2;nr;nr;nr;nr;corona;nr;hit;nr;postobon;nr;nr;nr;nr;nr;nr;nr;protex;nr;j&j;nr;pantene;nr;nr;nr;nr;nosotras;nosotras;nr;nr;nr;nr;nr;nr;nr;nr;nr;accer;1;1;5;5;5;3;4;3;4;2;5;1;2;3;1
27;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;6.   Estudia y trabaja;Menos de  $ 500.000;4;nr;nr;nr;nr;corona;nr;nr;nr;postobon;nr;nr;aguila;nr;nectar;nr;nr;palmolive;lebel;nr;nr;sedal;nr;nr;nr;nr;nosotras;nosotras;nr;nr;lebel;nr;nr;nr;nr;nr;nr;otras;3;3;5;3;5;5;5;4;4;1;1;5;4;2;2
28;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Sin Hijos;0;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;1;colcafe;nr;nr;zenu;bogotana;nr;california;brisa;postobon;nr;nr;clubnrcolombia;nr;nr;otras;nr;palmolive;lubriderm;avon;nr;sedal;yanbal;nr;winny;nr;nr;nosotras;lubriderm;nr;lady speed stick;nr;nr;nr;nr;sony;lg;nr;2;2;4;4;4;4;4;3;2;2;2;4;2;2;2
29;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;2.   Trabaja independientemente (informal);$ 1´001.000 -- $ 2,000.000;15;nescafe;la fina;sello rojo;zenu;corona;nr;tuttifrutti;brisa;cocacola;chocolisto;viejonrdenrcaldas;costeña;nr;nectarnrazul;nr;nr;protex;nivea;otras;protex;alert;nr;nr;winny;nr;nr;nosotras;nr;nr;rexona;nr;nr;nr;nr;nr;alcatel;nr;4;1;4;5;4;4;4;2;5;2;2;2;4;2;4
30;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;7.   Busca empleo;Menos de  $ 500.000;8;nr;la fina;sello rojo;nr;sol;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;protex;nr;otras;nr;otras;nr;nr;nr;nr;kotex;kotex;nr;nr;lady speed stick;nr;nr;nr;nr;sony;motorola;nr;2;2;2;4;4;4;4;2;2;4;2;4;2;2;2
31;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;2;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;4;nescafe;la fina;sello rojo;nr;bogotana;nr;nr;brisa;cocacola;nr;santanrfe;poker;nr;nectar;nr;nr;palmolive;nr;nr;nr;pantene;nr;nr;nr;nr;nosotras;nosotras;nr;sueño rosa;rexona;nr;nr;nr;nr;nr;nokia;nr;4;4;3;3;4;4;4;3;4;2;3;4;2;3;4
32;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);Menos de  $ 500.000;3;nescafe;nr;nr;nr;la especial;venus;nr;nr;colombiana;nr;nr;aguila;nr;nr;nr;nr;protex;ponds;nr;nr;ego;nr;nr;nr;nr;nr;kotex;nr;nr;nr;today;renault;nr;nr;nr;nokia;nr;4;2;2;2;2;4;4;2;2;2;1;5;2;3;4
33;Ciudad 2;2;25 - 34;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;3;nr;la fina;nr;suizo;sol;adidas;countryhill;brisa;cocacola;nr;santanrfe;bavaria;kool;nectar;nr;nr;protex;lebel;nr;nr;ego;gillette;nr;nr;nr;nr;nr;nr;pronto;axe;nr;nr;nr;nr;panasonic;nokia;nr;5;2;1;5;4;4;4;5;1;2;2;4;2;2;4
34;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;1.   Trabaja dependientemente (empleado);Menos de  $ 500.000;3;colcafe;rama;aguila roja;nr;sol;nr;otras;brisa;cocacola;nr;nr;nr;nr;nr;nr;nr;neko;nr;nr;nr;sedal;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;2;2;4;4;4;2;4;4;3;1;2;5;2;1;2
35;Ciudad 2;2;25 - 34;Masculino;Casado(a);Primaria;1.   Católico;Con Hijos;1;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;2;nr;rama;nr;rica;corona;nr;tuttifrutti;brisa;manzanapostobon;milo;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;h&s;nr;nr;nr;nr;nr;nr;nr;nr;ego;today;yamaha;nr;nr;nr;samsung;nr;4;4;4;2;4;4;4;4;4;2;4;4;4;4;2
36;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;6.   Estudia y trabaja;$ 501.000 -- $ 1´000.000;4;colcafe;la fina;nr;zenu;nr;nr;hit;nr;cocacola;nesquick;nr;pielsen;green;antioqueño;nr;nr;palmolive;ponds;nr;nr;sedal;nr;nr;pequeñin;nr;nr;nosotras;nr;nr;lady speed stick;today;nr;nr;nr;nr;nr;nr;2;4;2;5;5;2;5;5;2;3;2;4;4;2;2
37;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Sin Hijos;0;2.   Trabaja independientemente (informal);Menos de  $ 500.000;4;sello rojo;nr;nr;nr;nr;nr;hit;nr;cocacola;nr;nr;aguila;nr;nr;nr;nr;nr;nr;nr;protex;vital;gillette;nr;nr;nr;nr;nr;nr;nr;axe;today;nr;nr;nr;nr;sony ericsson;nr;4;2;3;4;4;3;4;4;4;2;4;4;4;2;2
38;Ciudad 2;2;35 - 44;Femenino;Unión Libre;Primaria;1.   Católico;Con Hijos;3;9.   Se dedica al hogar;No poseo ingresos propios;4;nr;la fina;nr;zenu;corona;nr;nr;cristal;nr;nr;nr;poker;nr;nr;nr;nr;protex;vasenol;vasenol;protex;sedal;nr;nr;winny;nr;nr;nosotras;nr;nr;lady speed stick;nr;nr;nr;nr;nr;nokia;nr;3;2;1;5;5;2;4;4;4;2;2;5;2;2;2
39;Ciudad 2;2;35 - 44;Femenino;Unión Libre;Primaria;1.   Católico;Con Hijos;4;9.   Se dedica al hogar;No poseo ingresos propios;5;nescafe;la fina;sello rojo;zenu;sol;nr;nr;nr;postobon;nr;nr;aguila;nr;nr;nr;nr;camay;otras;nr;nr;nr;nr;nr;winny;nr;nr;nosotras;nr;nr;lebel;nr;nr;nr;nr;nr;nr;nr;3;1;1;5;3;3;4;2;4;3;3;4;3;3;3
40;Ciudad 2;2;35 - 44;Masculino;Soltero(a);Primaria;2.   Cristiano no católico;Sin Hijos;0;2.   Trabaja independientemente (informal);Menos de  $ 500.000;4;colcafe;la fina;sello rojo;zenu;sol;nr;california;cristal;postobon;alpin;nr;nr;nr;nr;nr;nr;protex;nr;nr;nr;h&s;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;5;1;1;1;5;2;5;5;1;3;4;5;2;1;2
41;Ciudad 2;2;35 - 44;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;2;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;11;nescafe;la fina;aguila roja;zenu;corona;nr;hit;nr;bigcola;chocolisto;nr;aguila;nr;nectarnrverde;nr;nr;cristalino;nr;nr;nr;sedal;nr;nr;nr;nr;nosotras;otras;nr;nr;yanbal;nr;nr;nr;nr;nr;nr;nr;2;4;4;4;3;4;4;2;1;2;2;4;2;2;2
42;Ciudad 2;2;35 - 44;Masculino;Unión Libre;Bachillerato;1.   Católico;Sin Hijos;0;1.   Trabaja dependientemente (empleado);Menos de  $ 500.000;3;sello rojo;nr;nr;nr;sol;nr;nr;nr;nr;milo;viejonrdenrcaldas;aguila;nr;nr;nr;nr;rexona;nr;nr;nr;h&s;nr;nr;nr;nr;nr;nr;nr;nr;axe;nr;nr;nr;nr;nr;nr;nr;4;2;3;4;3;3;4;4;1;4;4;4;4;4;2
43;Ciudad 2;2;45 - 54;Masculino;Soltero(a);Primaria;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);$ 501.000 -- $ 1´000.000;2;nr;nr;sello rojo;nr;corona;nr;cifrut;nr;nr;nr;nr;poker;nr;nr;johnthomas;nr;lux;nr;nr;nr;sedal;nr;nr;nr;nr;nr;nosotras;nr;nr;arden for men;nr;nr;nr;nr;nr;sony ericsson;dell;2;4;4;4;4;4;4;4;5;2;2;4;2;2;2
44;Ciudad 2;2;45 - 54;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;3;2.   Trabaja independientemente (informal);Menos de  $ 500.000;4;colcafe;canola;aguila roja;nr;cualquiera;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;dove;yanbal;avon;dove;nr;nivea;nr;nr;nr;kotex;nosotras;yanbal;nr;yanbal;nr;nr;nr;nr;nr;nr;nr;2;3;4;4;2;4;4;4;3;2;3;4;2;1;3
45;Ciudad 2;2;45 - 54;Masculino;Casado(a);Primaria;1.   Católico;Con Hijos;3;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;9;nescafe;la fina;sello rojo;suizo;la especial;nr;cifrut;cristal;postobon;nr;santanrfe;aguila;mustang;nectar;otras;nr;protex;nr;nr;nr;pantene;nr;nr;pequeñin;nr;nosotras;nosotras;nr;nr;speed stick;nr;hyundai;nr;nr;nr;nokia;sony;5;4;4;4;5;3;4;4;4;4;4;4;3;4;2
46;Ciudad 2;2;45 - 54;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;1;9.   Se dedica al hogar;Menos de  $ 500.000;3;sello rojo;la fina;lukafe;zenu;sol;nr;delvalle;brisa;postobon;milo;nr;nr;nr;nr;nr;nr;lux;ponds;nr;nr;sedal;nr;nr;nr;nr;nr;nr;nr;nr;lady speed stick;nr;nr;nr;nr;nr;nokia;nr;4;2;1;5;5;3;5;5;1;4;4;4;4;2;1
47;Ciudad 2;2;45 - 54;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;3;sello rojo;la fina;lukafe;zenu;sol;converse;hit;brisa;postobon;milo;viejonrdenrcaldas;aguila;nr;nectarnrazul;nr;ivanoff;rexona;nr;nr;nr;ego;nr;nr;nr;nr;nosotras;nosotras;nr;nr;nr;piel;nr;nr;nr;nr;nokia;compaq;5;1;4;5;5;2;5;4;3;2;4;5;4;1;1
48;Ciudad 2;2;55 - 60;Femenino;Casado(a);Primaria;6.   Otra:;Con Hijos;4;2.   Trabaja independientemente (informal);Menos de  $ 500.000;8;aroma;la fina;nr;nr;nr;nr;nr;nr;postobon;otras;nr;nr;nr;nr;nr;nr;protex;nr;otras;nr;sedal;nr;nr;nr;nr;nr;nosotras;nr;nr;lady speed stick;nr;nr;nr;nr;nr;nr;nr;3;2;2;4;4;3;4;3;2;2;3;2;1;1;2
49;Ciudad 2;2;55 - 60;Masculino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);Menos de  $ 500.000;4;nr;natura;sello rojo;nr;corona;nr;tuttifrutti;manantial;nr;nr;nr;nr;nr;nr;nr;nr;protex;j&j;nivea;protex;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;siemens;nr;4;2;5;4;4;2;4;2;2;4;3;5;2;2;2
50;Ciudad 2;2;55 - 60;Masculino;Separado(a);Primaria;1.   Católico;Con Hijos;6;2.   Trabaja independientemente (informal);Menos de  $ 500.000;6;sello rojo;nr;sello rojo;suizo;corona;nr;nr;nr;postobon;nr;nr;poker;nr;tapanrroja;nr;nr;j&j;nr;nr;nr;ego;nr;nr;nr;nr;nr;nosotras;nr;pat primo;nivea;nr;chevrolet;nr;corona;nr;nokia;nr;2;2;5;4;5;4;4;2;3;2;5;4;1;2;3
51;Ciudad 2;2;55 - 60;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;6;2.   Trabaja independientemente (informal);Menos de  $ 500.000;11;la bastilla;rama;nr;zenu;corona;nr;naturales;nr;cualquiera;milo;nr;nr;nr;nr;nr;nr;protex;nr;nr;nr;h&s;nr;nr;pequeñin;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nokia;samsung;2;2;2;5;2;2;4;4;4;4;4;4;2;2;2
